class_id	tax_label
0	
1	animalia
2	animalia annelida
3	animalia annelida polychaeta
4	animalia annelida polychaeta phyllodocida
5	animalia annelida polychaeta phyllodocida phyllodocidae
6	animalia annelida polychaeta phyllodocida tomopteridae
7	animalia annelida polychaeta phyllodocida tomopteridae tomopteris
8	animalia annelida polychaeta terebellida acrocirridae
9	animalia annelida polychaeta terebellida acrocirridae swima
10	animalia annelida polychaeta terebellida flabelligeridae flota
11	animalia annelida polychaeta terebellida flabelligeridae poeobius
12	animalia arthropoda
13	animalia arthropoda arachnida trombidiformes
14	animalia arthropoda arachnida trombidiformes halacaridae
15	animalia arthropoda branchiopoda
16	animalia arthropoda branchiopoda anomopoda bosminidae bosmina
17	animalia arthropoda branchiopoda anomopoda daphniidae ceriodaphnia
18	animalia arthropoda branchiopoda anomopoda daphniidae daphnia
19	animalia arthropoda branchiopoda ctenopoda sididae diaphanosoma
20	animalia arthropoda branchiopoda ctenopoda sididae penilia
21	animalia arthropoda branchiopoda ctenopoda sididae penilia avirostris
22	animalia arthropoda branchiopoda haplopoda leptodoridae leptodora
23	animalia arthropoda branchiopoda onychopoda podonidae evadne
24	animalia arthropoda branchiopoda onychopoda podonidae podon
25	animalia arthropoda copepoda
26	animalia arthropoda copepoda calanoida
27	animalia arthropoda copepoda calanoida acartiidae
28	animalia arthropoda copepoda calanoida augaptilidae haloptilus
29	animalia arthropoda copepoda calanoida calanidae
30	animalia arthropoda copepoda calanoida candaciidae
31	animalia arthropoda copepoda calanoida centropagidae
32	animalia arthropoda copepoda calanoida centropagidae centropages
33	animalia arthropoda copepoda calanoida centropagidae isias
34	animalia arthropoda copepoda calanoida clausocalanidae ctenocalanus
35	animalia arthropoda copepoda calanoida clausocalanidae pseudocalanus
36	animalia arthropoda copepoda calanoida diaptomidae eudiaptomus
37	animalia arthropoda copepoda calanoida eucalanidae
38	animalia arthropoda copepoda calanoida eucalanidae eucalanus
39	animalia arthropoda copepoda calanoida euchaetidae
40	animalia arthropoda copepoda calanoida euchaetidae euchaeta
41	animalia arthropoda copepoda calanoida heterorhabdidae
42	animalia arthropoda copepoda calanoida metridinidae
43	animalia arthropoda copepoda calanoida metridinidae pleuromamma abdominalis
44	animalia arthropoda copepoda calanoida paracalanidae calocalanus
45	animalia arthropoda copepoda calanoida paracalanidae calocalanus pavo
46	animalia arthropoda copepoda calanoida pontellidae
47	animalia arthropoda copepoda calanoida rhincalanidae
48	animalia arthropoda copepoda calanoida temoridae
49	animalia arthropoda copepoda calanoida temoridae temora
50	animalia arthropoda copepoda cyclopoida
51	animalia arthropoda copepoda cyclopoida corycaeidae
52	animalia arthropoda copepoda cyclopoida cyclopidae cyclops
53	animalia arthropoda copepoda cyclopoida oithonidae
54	animalia arthropoda copepoda cyclopoida oithonidae oithona
55	animalia arthropoda copepoda cyclopoida oncaeidae
56	animalia arthropoda copepoda cyclopoida oncaeidae oncaea
57	animalia arthropoda copepoda cyclopoida sapphirinidae
58	animalia arthropoda copepoda cyclopoida sapphirinidae copilia
59	animalia arthropoda copepoda harpacticoida
60	animalia arthropoda copepoda harpacticoida ectinosomatidae microsetella
61	animalia arthropoda copepoda harpacticoida tachidiidae euterpina
62	animalia arthropoda copepoda monstrilloida
63	animalia arthropoda diplopoda siphonophorida siphonophoridae siphonophora
64	animalia arthropoda hexapoda
65	animalia arthropoda hexapoda ephemeroptera ephemeridae ephemera
66	animalia arthropoda hexapoda siphonaptera pulicidae echidnophaga
67	animalia arthropoda insecta diptera chaoboridae chaoborus
68	animalia arthropoda malacostraca
69	animalia arthropoda malacostraca amphipoda
70	animalia arthropoda malacostraca amphipoda stegocephalidae stegocephalus inflatus
71	animalia arthropoda malacostraca cumacea
72	animalia arthropoda malacostraca decapoda
73	animalia arthropoda malacostraca decapoda galatheidae
74	animalia arthropoda malacostraca decapoda luciferidae
75	animalia arthropoda malacostraca decapoda munididae grimothea
76	animalia arthropoda malacostraca decapoda penaeidae
77	animalia arthropoda malacostraca decapoda porcellanidae
78	animalia arthropoda malacostraca decapoda sergestidae
79	animalia arthropoda malacostraca euphausiacea
80	animalia arthropoda malacostraca isopoda cirolanidae eurydice
81	animalia arthropoda malacostraca isopoda munnopsidae
82	animalia arthropoda malacostraca isopoda munnopsidae munnopsis
83	animalia arthropoda malacostraca mysida
84	animalia arthropoda malacostraca mysida mysidae mysis
85	animalia arthropoda malacostraca stomatopoda
86	animalia arthropoda malacostraca stomatopoda nannosquillidae
87	animalia arthropoda ostracoda
88	animalia arthropoda ostracoda podocopida hemicytheridae favella
89	animalia arthropoda thecostraca
90	animalia arthropoda thecostraca sessilia
91	animalia bryozoa
92	animalia chaetognatha
93	animalia chaetognatha sagittoidea aphragmophora sagittidae sagitta
94	animalia chaetognatha sagittoidea phragmophora eukrohniidae eukrohnia
95	animalia chordata
96	animalia chordata appendicularia
97	animalia chordata appendicularia copelata fritillariidae
98	animalia chordata appendicularia copelata fritillariidae fritillaria
99	animalia chordata appendicularia copelata oikopleuridae
100	animalia chordata ascidiacea aplousobranchia holozoidae distaplia
101	animalia chordata teleostei
102	animalia chordata teleostei anguilliformes eurypharyngidae eurypharynx pelecanoides
103	animalia chordata teleostei clupeiformes
104	animalia chordata teleostei clupeiformes clupeidae
105	animalia chordata teleostei clupeiformes engraulidae
106	animalia chordata thaliacea
107	animalia chordata thaliacea doliolida
108	animalia chordata thaliacea pyrosomatida
109	animalia chordata thaliacea pyrosomatida pyrosomatidae pyrosoma
110	animalia chordata thaliacea salpida
111	animalia chordata thaliacea salpida salpidae
112	animalia cnidaria
113	animalia cnidaria cubozoa
114	animalia cnidaria hexacorallia actiniaria
115	animalia cnidaria hexacorallia ceriantharia
116	animalia cnidaria hexacorallia zoantharia
117	animalia cnidaria hydrozoa
118	animalia cnidaria hydrozoa anthoathecata
119	animalia cnidaria hydrozoa anthoathecata bythotiaridae
120	animalia cnidaria hydrozoa anthoathecata corynidae sarsia
121	animalia cnidaria hydrozoa anthoathecata hydridae hydra
122	animalia cnidaria hydrozoa leptothecata
123	animalia cnidaria hydrozoa leptothecata aequoreidae
124	animalia cnidaria hydrozoa leptothecata aequoreidae aequorea
125	animalia cnidaria hydrozoa leptothecata campanulariidae obelia
126	animalia cnidaria hydrozoa limnomedusae geryoniidae liriope
127	animalia cnidaria hydrozoa limnomedusae olindiidae
128	animalia cnidaria hydrozoa narcomedusae
129	animalia cnidaria hydrozoa narcomedusae aeginidae aegina
130	animalia cnidaria hydrozoa narcomedusae aeginidae aegina citrea
131	animalia cnidaria hydrozoa narcomedusae solmarisidae
132	animalia cnidaria hydrozoa narcomedusae solmarisidae solmaris
133	animalia cnidaria hydrozoa narcomedusae solmundaeginidae solmundella
134	animalia cnidaria hydrozoa narcomedusae solmundaeginidae solmundella bitentaculata
135	animalia cnidaria hydrozoa siphonophorae
136	animalia cnidaria hydrozoa siphonophorae abylidae
137	animalia cnidaria hydrozoa siphonophorae abylidae abylopsis tetragona
138	animalia cnidaria hydrozoa siphonophorae abylidae bassia bassensis
139	animalia cnidaria hydrozoa siphonophorae diphyidae
140	animalia cnidaria hydrozoa siphonophorae hippopodiidae
141	animalia cnidaria hydrozoa siphonophorae sphaeronectidae sphaeronectes
142	animalia cnidaria hydrozoa trachymedusae
143	animalia cnidaria hydrozoa trachymedusae halicreatidae
144	animalia cnidaria hydrozoa trachymedusae halicreatidae botrynema
145	animalia cnidaria hydrozoa trachymedusae halicreatidae botrynema brucei
146	animalia cnidaria hydrozoa trachymedusae halicreatidae halicreas
147	animalia cnidaria hydrozoa trachymedusae halicreatidae halicreas minimum
148	animalia cnidaria hydrozoa trachymedusae halicreatidae haliscera
149	animalia cnidaria hydrozoa trachymedusae rhopalonematidae
150	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglantha
151	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglantha digitale
152	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglaura
153	animalia cnidaria hydrozoa trachymedusae rhopalonematidae aglaura hemistoma
154	animalia cnidaria hydrozoa trachymedusae rhopalonematidae rhopalonema
155	animalia cnidaria hydrozoa trachymedusae rhopalonematidae rhopalonema velatum
156	animalia cnidaria hydrozoa trachymedusae rhopalonematidae sminthea
157	animalia cnidaria scyphozoa
158	animalia cnidaria scyphozoa coronatae
159	animalia cnidaria scyphozoa coronatae atollidae atolla
160	animalia cnidaria scyphozoa rhizostomeae
161	animalia cnidaria scyphozoa semaeostomeae
162	animalia ctenophora nuda beroida
163	animalia ctenophora nuda beroida beroidae beroe
164	animalia ctenophora tentaculata cestida cestidae
165	animalia ctenophora tentaculata cydippida
166	animalia ctenophora tentaculata lobata
167	animalia echinodermata
168	animalia echinodermata asteroidea
169	animalia echinodermata asteroidea paxillosida luidiidae
170	animalia echinodermata crinoidea
171	animalia echinodermata echinoidea
172	animalia echinodermata holothuroidea
173	animalia echinodermata ophiuroidea
174	animalia hemichordata enteropneusta
175	animalia mollusca
176	animalia mollusca bivalvia
177	animalia mollusca bivalvia pteriida inoceramidae cladoceramus
178	animalia mollusca cephalopoda
179	animalia mollusca gastropoda
180	animalia mollusca gastropoda littorinimorpha
181	animalia mollusca gastropoda littorinimorpha atlantidae
182	animalia mollusca gastropoda nudibranchia
183	animalia mollusca gastropoda pteropoda
184	animalia mollusca gastropoda pteropoda cavoliniidae
185	animalia mollusca gastropoda pteropoda cavoliniidae cavolinia inflexa
186	animalia mollusca gastropoda pteropoda cliidae clio pyramidata
187	animalia mollusca gastropoda pteropoda creseidae
188	animalia mollusca gastropoda pteropoda creseidae creseis acicula
189	animalia mollusca gastropoda pteropoda cymbuliidae cymbulia peronii
190	animalia mollusca gastropoda pteropoda limacinidae
191	animalia mollusca gastropoda pteropoda limacinidae limacina
192	animalia mollusca gastropoda pteropoda limacinidae limacina helicina
193	animalia mollusca gastropoda pylopulmonata pyramidellidae microstellaria
194	animalia mollusca gastropoda stylommatophora helicidae helix
195	animalia mollusca gastropoda stylommatophora helicidae helix aspersa
196	animalia mollusca gastropoda thecosomata
197	animalia nematoda
198	animalia phoronida
199	animalia platyhelminthes
200	animalia platyhelminthes trematoda plagiorchiida cryptogonimidae siphodera
201	animalia porifera
202	animalia rotifera
203	animalia rotifera eurotatoria flosculariaceae conochilidae conochilus
204	animalia rotifera eurotatoria ploima asplanchnidae asplanchna
205	animalia rotifera eurotatoria ploima brachionidae brachionus
206	animalia rotifera eurotatoria ploima brachionidae kellicottia
207	animalia rotifera eurotatoria ploima brachionidae keratella cochlearis
208	animalia rotifera eurotatoria ploima brachionidae keratella quadrata
209	animalia rotifera eurotatoria ploima synchaetidae polyarthra
210	animalia rotifera eurotatoria ploima synchaetidae synchaeta
211	animalia rotifera eurotatoria ploima trichocercidae trichocerca
212	bacteria cyanobacteria
213	bacteria cyanobacteria cyanophyceae
214	bacteria cyanobacteria cyanophyceae chroococcales
215	bacteria cyanobacteria cyanophyceae chroococcales chroococcaceae chroococcus
216	bacteria cyanobacteria cyanophyceae chroococcales microcystaceae aphanothece parallelliformis
217	bacteria cyanobacteria cyanophyceae chroococcales microcystaceae merismopedia
218	bacteria cyanobacteria cyanophyceae gomontiellales gomontiellaceae katagnymene spiralis
219	bacteria cyanobacteria cyanophyceae nostocales aphanizomenonaceae aphanizomenon
220	bacteria cyanobacteria cyanophyceae nostocales aphanizomenonaceae dolichospermum
221	bacteria cyanobacteria cyanophyceae nostocales nodulariaceae anabaenopsis
222	bacteria cyanobacteria cyanophyceae nostocales nodulariaceae nodularia
223	bacteria cyanobacteria cyanophyceae nostocales nodulariaceae nodularia spumigena
224	bacteria cyanobacteria cyanophyceae nostocales rivulariaceae richelia
225	bacteria cyanobacteria cyanophyceae oscillatoriales
226	bacteria cyanobacteria cyanophyceae oscillatoriales microcoleaceae trichodesmium
227	bacteria cyanobacteria cyanophyceae synechococcales coelosphaeriaceae woronichinia
228	chromista
229	chromista cercozoa thecofilosea
230	chromista cercozoa thecofilosea phaeocalpida castanellidae
231	chromista cercozoa thecofilosea phaeocalpida circoporidae
232	chromista cercozoa thecofilosea phaeocalpida tuscaroridae
233	chromista cercozoa thecofilosea phaeocystida aulacanthidae
234	chromista cercozoa thecofilosea phaeocystida aulacanthidae aulacantha
235	chromista cercozoa thecofilosea phaeocystida aulacanthidae aulographis
236	chromista cercozoa thecofilosea phaeodendrida coelodendridae
237	chromista cercozoa thecofilosea phaeodendrida coelodendridae coelodendrum
238	chromista cercozoa thecofilosea phaeogromida challengeridae challengeron
239	chromista cercozoa thecofilosea phaeogromida medusettidae
240	chromista cercozoa thecofilosea phaeogromida medusettidae euphysetta
241	chromista cercozoa thecofilosea phaeosphaerida aulosphaeridae
242	chromista cercozoa thecofilosea phaeosphaerida cannosphaeridae
243	chromista ciliophora
244	chromista ciliophora heterotrichea heterotrichida blepharismidae blepharisma americanum
245	chromista ciliophora heterotrichea heterotrichida spirostomidae spirostomum ambiguum
246	chromista ciliophora heterotrichea heterotrichida stentoridae stentor coeruleus
247	chromista ciliophora litostomatea cyclotrichiida mesodiniidae mesodinium
248	chromista ciliophora litostomatea cyclotrichiida mesodiniidae mesodinium rubrum
249	chromista ciliophora litostomatea haptorida didiniidae didinium
250	chromista ciliophora litostomatea haptorida didiniidae didinium nasutum
251	chromista ciliophora litostomatea haptorida tracheliidae dileptus
252	chromista ciliophora litostomatea haptorida tracheliidae paradileptus
253	chromista ciliophora oligohymenophorea peniculida parameciidae paramecium bursaria
254	chromista ciliophora oligohymenophorea pleuronematida pleuronematidae pleuronema
255	chromista ciliophora oligohymenophorea sessilida zoothamniidae
256	chromista ciliophora oligotrichea choreotrichida
257	chromista ciliophora oligotrichea choreotrichida codonellidae codonaria
258	chromista ciliophora oligotrichea choreotrichida codonellidae codonella
259	chromista ciliophora oligotrichea choreotrichida codonellidae codonella amphorella
260	chromista ciliophora oligotrichea choreotrichida codonellidae poroecus
261	chromista ciliophora oligotrichea choreotrichida codonellidae tintinnopsis
262	chromista ciliophora oligotrichea choreotrichida codonellopsidae codonellopsis
263	chromista ciliophora oligotrichea choreotrichida codonellopsidae codonellopsis morchella
264	chromista ciliophora oligotrichea choreotrichida codonellopsidae codonellopsis orthoceras
265	chromista ciliophora oligotrichea choreotrichida cyttarocylididae cyttarocylis
266	chromista ciliophora oligotrichea choreotrichida dictyocystidae dictyocysta
267	chromista ciliophora oligotrichea choreotrichida epiplocylididae epicancella
268	chromista ciliophora oligotrichea choreotrichida epiplocylididae epiplocylis
269	chromista ciliophora oligotrichea choreotrichida eutintinnidae eutintinnus
270	chromista ciliophora oligotrichea choreotrichida leegaardiellidae leegaardiella ovalis
271	chromista ciliophora oligotrichea choreotrichida metacylididae climacocylis
272	chromista ciliophora oligotrichea choreotrichida metacylididae metacylis
273	chromista ciliophora oligotrichea choreotrichida ptychocylididae ptychocylis
274	chromista ciliophora oligotrichea choreotrichida rhabdonellidae rhabdonella
275	chromista ciliophora oligotrichea choreotrichida rhabdonellidae rhabdonellopsis
276	chromista ciliophora oligotrichea choreotrichida strobilidiidae strobilidium
277	chromista ciliophora oligotrichea choreotrichida tintinnidae amphorellopsis
278	chromista ciliophora oligotrichea choreotrichida tintinnidae amphorides
279	chromista ciliophora oligotrichea choreotrichida tintinnidae dadayiella
280	chromista ciliophora oligotrichea choreotrichida tintinnidae salpingella
281	chromista ciliophora oligotrichea choreotrichida tintinnidae steenstrupiella
282	chromista ciliophora oligotrichea choreotrichida tintinnidiidae leprotintinnus
283	chromista ciliophora oligotrichea choreotrichida undellidae
284	chromista ciliophora oligotrichea choreotrichida undellidae parundella
285	chromista ciliophora oligotrichea choreotrichida undellidae proplectella
286	chromista ciliophora oligotrichea choreotrichida xystonellidae
287	chromista ciliophora oligotrichea choreotrichida xystonellidae parafavella
288	chromista ciliophora oligotrichea choreotrichida xystonellidae xystonella
289	chromista ciliophora oligotrichea choreotrichida xystonellidae xystonellopsis
290	chromista ciliophora oligotrichea choreotrichida xystonellidae xystonellopsis paradoxa
291	chromista ciliophora oligotrichea oligotrichida strombidiidae strombidium
292	chromista ciliophora oligotrichea oligotrichida strombidiidae strombidium capitatum
293	chromista ciliophora oligotrichea oligotrichida strombidiidae strombidium conicum
294	chromista ciliophora oligotrichea oligotrichida strombidiidae strombidium inclinatum
295	chromista ciliophora oligotrichea oligotrichida strombidiidae strombidium oculatum
296	chromista ciliophora oligotrichea oligotrichida strombidiidae strombidium wulffi
297	chromista ciliophora oligotrichea oligotrichida tontoniidae laboea strobila
298	chromista ciliophora oligotrichea oligotrichida tontoniidae tontonia appendiculariformis
299	chromista ciliophora oligotrichea oligotrichida tontoniidae tontonia gracillima
300	chromista ciliophora prostomatea prorodontida colepidae tiarina
301	chromista ciliophora prostomatea prorodontida colepidae tiarina fusus
302	chromista ciliophora spirotrichea euplotida euplotidae euplotes
303	chromista ciliophora spirotrichea euplotida euplotidae euplotes eurystomus
304	chromista ciliophora spirotrichea tintinnida
305	chromista cryptophyta cryptophyceae
306	chromista cryptophyta cryptophyceae cryptomonadales
307	chromista cryptophyta cryptophyceae pyrenomonadales geminigeraceae teleaulax
308	chromista cryptophyta cryptophyta kathablepharidacea katablepharidaceae katablepharis remigera
309	chromista foraminifera
310	chromista foraminifera globothalamea rotaliida globigerinidae
311	chromista haptophyta coccolithophyceae coccolithales calcidiscaceae umbilicosphaera sibogae
312	chromista haptophyta coccolithophyceae isochrysidales noelaerhabdaceae gephyrocapsa huxleyi
313	chromista haptophyta coccolithophyceae phaeocystales phaeocystaceae phaeocystis
